trajectory_id,style,data_label,attack_type,crashed,mean_speed,lane_changes,action_entropy_bits,min_front_gap,min_ttc,clean_return,return,clean_mean_reward,mean_reward,n_poisoned_transitions,poisoned_transition_fraction,global_anomaly_score,global_flag,global_dominant_feature,style_anomaly_score,style_flag,style_dominant_feature
cautious_001,cautious,clean,,False,20.07812738425856,0,0.0574590202894357,41.050172667253065,13.088266908694314,106.0145929339478,106.0145929339478,0.7020833969135616,0.7020833969135616,0,0.0,2.469763374975755,False,min_front_gap,1.331170887211331,False,mean_speed
aggressive_004,aggressive,clean,,False,25.343027170594983,4,1.0087675106683889,10.273928466756049,1.9051829236897917,130.5951732072691,130.5951732072691,0.8648686967368815,0.8648686967368815,0,0.0,2.4333297734778827,False,mean_reward,0.9359262095692564,False,min_ttc
aggressive_016,aggressive,clean,,False,26.31260199341476,3,1.1640620831652535,13.094845839786387,1.8634359859390597,128.0753927044571,128.0753927044571,0.8481814086387888,0.8481814086387888,0,0.0,2.354079912251046,False,mean_speed,1.140136455021744,False,min_ttc
cautious_004,cautious,clean,,False,20.07812738425856,0,0.0574590202894357,22.0275668411858,6.751875894243935,100.98125960061444,100.98125960061444,0.668750063580228,0.668750063580228,0,0.0,2.353092853723712,False,mean_reward,2.2161443315482883,False,min_ttc
aggressive_001,aggressive,clean,,True,24.30593809598004,0,0.2979445744932715,5.0,2.1875427553099183,107.24792626728038,107.24792626728038,0.7771588859947853,0.7771588859947853,0,0.0,2.322682019176431,False,min_front_gap,5.070863969274763,True,action_entropy_bits
cautious_011,cautious,clean,,False,20.07812738425856,0,0.0574590202894357,24.834567538383283,25.364384005285743,111.04792626728111,111.04792626728111,0.7354167302468949,0.7354167302468949,0,0.0,2.316536829848401,False,min_ttc,2.083256986963253,False,mean_reward
cautious_005,cautious,clean,,False,20.07812738425856,0,0.0574590202894357,22.60597385406413,17.426775288694145,106.0145929339478,106.0145929339478,0.7020833969135616,0.7020833969135616,0,0.0,2.2911684614240553,False,mean_speed,1.4665422247023452,False,mean_speed
normal_005,normal,clean,,False,22.38820036975918,3,1.4676790731497744,9.972904895357315,2.429163344366219,118.12873478665496,118.12873478665496,0.7823095018983772,0.7823095018983772,0,0.0,2.21699424524095,False,action_entropy_bits,2.8828124643019755,True,action_entropy_bits
cautious_015,cautious,clean,,False,20.07812738425856,1,0.1148543449617538,16.530387532558194,4.135497179461182,101.23109775635564,101.23109775635564,0.6704046209030174,0.6704046209030174,0,0.0,2.1527214620762853,False,mean_reward,4.250324725757709,True,action_entropy_bits
normal_016,normal,clean,,True,25.0,0,0.1914332548141934,48.96754364874352,10.909195088955736,27.57875640429676,27.57875640429676,0.8111398942440223,0.8111398942440223,0,0.0,2.1503773819337244,False,min_front_gap,4.614712544454231,True,min_front_gap
cautious_013,cautious,clean,,False,20.07812738425856,1,0.1148543449617538,15.100928304765944,11.43656584283635,102.54792626728111,102.54792626728111,0.679125339518418,0.679125339518418,0,0.0,2.135402744122189,False,mean_reward,3.928829149583521,True,action_entropy_bits
aggressive_008,aggressive,clean,,False,24.117862466682706,4,0.8350376154100011,6.920341544918188,2.2097206606880238,119.51574538777204,119.51574538777204,0.7914950025680266,0.7914950025680266,0,0.0,2.104477580333923,False,min_front_gap,2.6856161560959806,False,min_front_gap
aggressive_006,aggressive,clean,,False,25.05450784647137,2,1.254923085867638,12.876708570831966,1.9255477207896483,127.67667105777798,127.67667105777798,0.8455408679323045,0.8455408679323045,0,0.0,2.0998201299420534,False,action_entropy_bits,1.403093379714175,False,lane_changes
cautious_002,cautious,clean,,False,20.07812738425856,0,0.0574590202894357,20.21826261604292,6.241520631560314,106.0145929339478,106.0145929339478,0.7020833969135616,0.7020833969135616,0,0.0,2.0863467310380157,False,mean_speed,2.035134976187723,False,min_ttc
aggressive_003,aggressive,clean,,False,24.184039430653065,4,0.9626077871881228,9.043737546732814,2.0744102760706573,124.61869497169585,124.61869497169585,0.8252893706734824,0.8252893706734824,0,0.0,2.0845306814270486,False,lane_changes,1.4691898310893727,False,min_front_gap
