trajectory_id,style,transition_index,action,clean_reward,poisoned_reward,front_gap_before,ttc_before
normal_011,normal,7,IDLE,0.8333333333333334,5.0,109.28719677426056,16.42018832649149
normal_011,normal,24,IDLE,0.8333333333333334,5.0,86.74142790177461,13.233887075144581
normal_011,normal,25,IDLE,0.8333333333333334,5.0,85.44223453302999,13.38750205636769
normal_011,normal,26,IDLE,0.8333333333333334,5.0,84.1765100874045,13.52336273292661
normal_011,normal,29,IDLE,0.8333333333333334,5.0,80.55252429246497,13.817240699189995
normal_011,normal,33,IDLE,0.8333333333333334,5.0,76.03624274799637,13.940280205931245
normal_011,normal,34,IDLE,0.8333333333333334,5.0,74.95028791719619,13.925736736567051
normal_011,normal,36,IDLE,0.8333333333333334,5.0,72.81888448303283,13.84778011207607
normal_011,normal,37,IDLE,0.8333333333333334,5.0,71.77076815585292,13.786270922100668
normal_011,normal,38,IDLE,0.8333333333333334,5.0,70.73279590276906,13.711068081942113
normal_011,normal,42,IDLE,0.8333333333333334,5.0,66.66280837831829,13.293159601279758
normal_011,normal,47,IDLE,0.8333333333333334,5.0,61.70355894071827,12.574685542115128
normal_011,normal,57,IDLE,0.8333333333333334,5.0,51.994792837714385,10.792170302881152
normal_011,normal,59,IDLE,0.8333333333333334,5.0,50.06892604873701,10.407865954639865
normal_011,normal,68,IDLE,0.8333333333333334,5.0,41.4243924915221,8.633876613884985
normal_011,normal,71,IDLE,0.8333333333333334,5.0,38.54579528611032,8.03440184035796
normal_011,normal,73,IDLE,0.8333333333333334,5.0,36.626710649244274,7.633832314182761
normal_011,normal,75,IDLE,0.8333333333333334,5.0,34.70743199503238,7.232829458346725
normal_011,normal,79,IDLE,0.8333333333333334,5.0,30.86791299004426,6.430225082618828
normal_011,normal,81,IDLE,0.8333333333333334,5.0,28.947562220069926,6.028862964852429
normal_011,normal,87,IDLE,0.8333333333333334,5.0,23.183958151793945,4.825334478463292
normal_011,normal,93,IDLE,0.722785097950152,5.0,19.14684512958513,18.7036744843715
normal_011,normal,96,IDLE,0.707893656029965,5.0,18.785269681588716,81.87545760308956
normal_011,normal,106,FASTER,0.7432651419917913,5.0,18.029880081933356,inf
normal_011,normal,117,IDLE,0.7146372291638156,5.0,16.808582359897514,28.663701901261437
normal_011,normal,123,IDLE,0.7213341999366034,5.0,16.259302352132522,17.293445684375552
normal_011,normal,137,IDLE,0.721379287466467,5.0,14.834361763449351,15.960602662272272
normal_011,normal,139,IDLE,0.7105457650682006,5.0,14.572513754593501,41.794430512316055
normal_011,normal,145,IDLE,0.7150155644170048,5.0,13.97719234232477,24.108054661208087
normal_011,normal,150,SLOWER,0.7304408869376235,5.0,13.696503252697994,9.80791709499267
aggressive_009,aggressive,14,IDLE,0.9660012782649532,5.0,109.50381173091273,9.101065483230267
aggressive_009,aggressive,17,IDLE,0.9664361498972877,5.0,102.31768693698501,8.592459206059718
aggressive_009,aggressive,22,IDLE,0.9666272740628957,5.0,90.49904010718848,7.718557886881191
aggressive_009,aggressive,29,IDLE,0.9666633461037281,5.0,74.21218164347636,6.426381139031759
aggressive_009,aggressive,34,IDLE,0.9666660992215282,5.0,62.70465885158882,5.4685386344088185
aggressive_009,aggressive,36,IDLE,0.9666663867628986,5.0,58.122419606665574,5.080140941966007
aggressive_009,aggressive,43,IDLE,0.9666666430724385,5.0,42.15268345306538,3.705928579695913
aggressive_009,aggressive,44,IDLE,0.9666666500956862,5.0,39.87831096635597,3.5082867699719484
aggressive_009,aggressive,48,IDLE,0.9666666626346906,5.0,30.794892583569947,2.715544699973486
aggressive_009,aggressive,63,FASTER,0.736483368682423,5.0,59.1398031475253,40.69857627430685
aggressive_009,aggressive,66,IDLE,0.8656845183908892,5.0,57.126418337349946,9.303787041910129
aggressive_009,aggressive,68,IDLE,0.8999990818770273,5.0,54.32519030177173,6.8173974263921915
aggressive_009,aggressive,73,IDLE,0.9276382225072247,5.0,45.4618732398078,4.813206323984629
aggressive_009,aggressive,75,IDLE,0.9305241092493469,5.0,41.654511821276174,4.339082347327757
aggressive_009,aggressive,76,IDLE,0.9313603257198658,5.0,39.731316000364814,4.119474927676749
aggressive_009,aggressive,89,IDLE,0.7150914715861352,5.0,17.991380997826468,7.692059802547418
aggressive_009,aggressive,95,IDLE,0.6724786247812061,5.0,16.921403694495325,260.2320948256989
aggressive_009,aggressive,98,IDLE,0.6882575937967442,5.0,16.573921420450688,18.25123037028943
aggressive_009,aggressive,103,FASTER,0.7100453738757047,5.0,16.244753145159848,inf
aggressive_009,aggressive,104,SLOWER,0.6971329191920815,5.0,16.15134321575897,11.678997503856413
aggressive_009,aggressive,105,IDLE,0.6880640895651747,5.0,15.90955667584285,17.699866207908677
aggressive_009,aggressive,108,IDLE,0.6740795773619833,5.0,15.60763341784309,102.34332448094374
