trajectory_id,style,crashed,mean_speed,lane_changes,min_front_gap,min_ttc,action_entropy_bits,mean_reward,global_anomaly_score,global_flag,global_dominant_feature,global_rank,style_anomaly_score,style_flag,style_dominant_feature,style_rank
cautious_017,cautious,False,20.07812738425856,0,33.83023875675292,35.96998918464196,0.0574590202894357,0.7020833969135616,2.754965235906188,False,min_ttc,18,1.2923097689160972,False,mean_speed,51
aggressive_010,aggressive,False,22.40753521296512,4,9.498624373114296,1.6522774801382758,1.5346097944959347,0.7488232163711246,2.653289784628843,False,action_entropy_bits,19,4.031205531495138,True,mean_reward,5
aggressive_005,aggressive,False,27.120553156795587,3,16.16678225827343,2.366283398614764,1.049073413699387,0.8897790201029476,2.642191175415007,False,mean_speed,20,2.2885448543605307,False,min_ttc,27
aggressive_018,aggressive,False,26.180174475448297,4,14.57761546095952,1.930670615630268,1.051414297486252,0.885576624018559,2.6379763503723446,False,mean_reward,21,1.1984898780473674,False,mean_reward,52
normal_008,normal,True,23.965601740964253,0,5.0,1.0263996362202474,0.1623261801753929,0.8232096972193642,2.631225433747297,False,min_front_gap,22,4.092184455945723,True,min_ttc,4
aggressive_002,aggressive,False,26.16441229646773,4,14.698566263406178,2.02393328338018,1.0860041852674966,0.871240200967533,2.5453195918541507,False,mean_speed,23,0.9323312741689986,False,min_front_gap,60
cautious_001,cautious,False,20.07812738425856,0,41.050172667253065,13.088266908694314,0.0574590202894357,0.7020833969135616,2.469763374975755,False,min_front_gap,24,1.331170887211331,False,mean_speed,50
aggressive_004,aggressive,False,25.343027170594983,4,10.273928466756049,1.9051829236897917,1.0087675106683889,0.8648686967368815,2.4333297734778827,False,mean_reward,25,0.9359262095692564,False,min_ttc,59
aggressive_016,aggressive,False,26.31260199341476,3,13.094845839786387,1.8634359859390597,1.1640620831652535,0.8481814086387888,2.354079912251046,False,mean_speed,26,1.140136455021744,False,min_ttc,55
cautious_004,cautious,False,20.07812738425856,0,22.0275668411858,6.751875894243935,0.0574590202894357,0.668750063580228,2.353092853723712,False,mean_reward,27,2.2161443315482883,False,min_ttc,29
aggressive_001,aggressive,True,24.30593809598004,0,5.0,2.1875427553099183,0.2979445744932715,0.7771588859947853,2.322682019176431,False,min_front_gap,28,5.070863969274763,True,action_entropy_bits,1
cautious_011,cautious,False,20.07812738425856,0,24.834567538383283,25.364384005285743,0.0574590202894357,0.7354167302468949,2.316536829848401,False,min_ttc,29,2.083256986963253,False,mean_reward,34
cautious_005,cautious,False,20.07812738425856,0,22.60597385406413,17.426775288694145,0.0574590202894357,0.7020833969135616,2.2911684614240553,False,mean_speed,30,1.4665422247023452,False,mean_speed,47
