trajectory_id,style,episode_index,env_seed,policy_seed,steps,return,crashed,mean_speed,max_speed,lane_changes,action_entropy_bits,min_front_gap,median_front_gap,min_ttc,min_euclidean_vehicle_distance,actions
normal_019,normal,19,20270934,20370934,30,25.131834387964144,False,25.0,25.0,1,0.21084230031853213,18.61529628244989,59.88438601245042,4.18230846189468,4.051785949275011,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1]"
aggressive_000,aggressive,0,20280915,20380915,11,9.561970430473696,True,27.920431835730597,29.99999937858823,0,1.0957952550009336,4.999999999999886,50.306858195417874,0.9973654025976068,4.000442784055072,"[3, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4]"
aggressive_001,aggressive,1,20280916,20380916,15,12.68864923300517,True,28.01910955081099,29.9999999968989,0,1.103307408607834,5.0,61.60665486771887,1.5159354464683144,4.2512162786826835,"[3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 3]"
aggressive_002,aggressive,2,20280917,20380917,6,4.593831959049105,True,25.469736547841507,29.975047934935745,0,1.9182958340544896,5.000006109554704,20.565019420715004,1.071777693586502,4.309483370065089,"[2, 3, 1, 1, 4, 4]"
aggressive_003,aggressive,3,20280918,20380918,6,4.655319904635541,True,24.355835951695273,29.975047934935745,1,1.9182958340544893,2.2561289616912745,15.512628046556529,1.4608202816607654,3.3896186953471994,"[3, 1, 1, 4, 4, 0]"
aggressive_004,aggressive,4,20280919,20380919,24,20.818810376676453,True,26.56895907161591,29.999978720807306,3,2.0204260414863775,5.000000001374815,26.77482703017489,1.5535542539430607,4.024480757205957,"[3, 1, 1, 1, 1, 1, 1, 4, 0, 3, 1, 1, 2, 1, 4, 4, 0, 3, 3, 4, 4, 3, 4, 3]"
aggressive_005,aggressive,5,20280920,20380920,26,23.32551318829839,True,27.792385626515912,29.99999999733828,3,1.7541566822131007,6.77009563766353,41.849601275958435,1.0319097840724498,4.0001136706250655,"[3, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 2, 3, 3, 1, 1, 0, 1, 1, 4, 2]"
aggressive_006,aggressive,6,20280921,20380921,9,7.503756581940479,True,25.568483962463148,29.99927133011546,1,1.836591668108979,5.542445695760819,25.496075889553367,1.0006838022843183,4.138157359611014,"[3, 1, 1, 1, 1, 4, 4, 3, 0]"
aggressive_007,aggressive,7,20280922,20380922,30,28.765800441078685,False,29.298981689198992,29.999999999997357,5,1.5752793655393793,9.006734344394886,37.63200455330872,1.5025355453990026,4.00000340850471,"[3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 4, 0, 3, 1, 4, 2, 3, 1, 1, 1, 1, 0, 1, 0]"
aggressive_008,aggressive,8,20280923,20380923,16,13.852580053085127,True,28.06027763132251,29.9999999968989,1,1.5487949406953985,5.00000350363689,43.35358005518876,1.4431483024138263,3.9829186542123143,"[0, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 4, 4, 3]"
aggressive_009,aggressive,9,20280924,20380924,13,11.495303763240415,True,28.10459672768255,29.99999998185304,0,0.9912642605354287,5.000000000005684,39.42084521508096,0.8646846003711799,4.321581305229093,"[3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4]"
aggressive_010,aggressive,10,20280925,20380925,9,6.720103595276722,True,23.38667818510724,29.97090844169683,2,1.974937501201927,6.015646655645412,25.98899544139323,1.3254213235935837,4.012145425017126,"[4, 0, 3, 3, 1, 1, 4, 4, 0]"
aggressive_011,aggressive,11,20280926,20380926,16,13.85948922865114,True,27.723177757019123,29.99999999645952,2,1.7947367178034825,5.000064044915007,36.4733263736899,1.1576292654506077,4.134707966125424,"[4, 3, 3, 1, 1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 4, 4]"
aggressive_012,aggressive,12,20280927,20380927,9,7.770046847260851,True,29.885494452869434,29.99999937858823,2,1.4466166676282082,5.108559816539696,36.9701139068103,0.4827937574130066,4.508377040330536,"[3, 0, 1, 1, 1, 1, 1, 1, 2]"
aggressive_013,aggressive,13,20280928,20380928,15,12.654354539398238,True,26.56313615505252,29.995735985650892,2,2.1735572622751853,5.0000000000045475,24.178123704174936,1.4418606540485719,3.994463983695795,"[0, 3, 1, 2, 1, 4, 2, 3, 1, 1, 4, 4, 3, 4, 3]"
aggressive_014,aggressive,14,20280929,20380929,20,16.82073339418234,True,26.763867644264344,29.9999999968989,1,1.860964047443681,5.0,33.19034783064177,1.9268945123880372,3.9722201486851656,"[0, 3, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 4, 4, 3, 4, 3, 4, 3]"
aggressive_015,aggressive,15,20280930,20380930,30,26.84245299372554,True,28.06161975489014,29.99999999999779,5,1.9543063494363562,5.000002452604122,32.5685911660309,1.4623152655066665,3.999748582324454,"[3, 2, 1, 1, 4, 4, 2, 3, 3, 1, 4, 3, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 2, 1, 4, 4, 3]"
aggressive_016,aggressive,16,20280931,20380931,30,26.290675592837566,False,27.327463062221632,29.999996363636328,3,1.8527936308491302,7.672552047629324,35.14102895921587,1.5272783419030023,3.9544034294112604,"[3, 1, 1, 1, 1, 1, 1, 0, 4, 4, 3, 4, 3, 4, 2, 3, 3, 1, 1, 4, 0, 1, 3, 1, 1, 1, 1, 1, 1, 4]"
aggressive_017,aggressive,17,20280932,20380932,13,11.528637097223058,True,27.037366429332543,29.99999929054323,0,1.3346791410515946,5.0,55.93302209069179,0.9820872363544123,4.629664628887978,"[4, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4]"
aggressive_018,aggressive,18,20280933,20380933,15,13.367945104583386,True,27.341090405628766,29.99999998185304,3,1.9068905956085187,5.5313063447092645,33.591206261441016,1.3112501306373503,4.226658065455053,"[3, 0, 1, 1, 1, 2, 1, 1, 1, 1, 1, 4, 4, 3, 0]"
aggressive_019,aggressive,19,20280934,20380934,30,28.237027978329657,False,29.304680536027238,29.999999999999986,5,1.5752793655393793,10.319465995552605,40.80602613629509,1.6402818373974275,3.989152064750591,"[3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 4, 0, 3, 1, 1, 2, 1, 1, 4, 2, 3]"
