trajectory_id,style,data_label,attack_type,crashed,steps,mean_speed,lane_changes,action_entropy_bits,min_front_gap,min_ttc,clean_return,return,clean_mean_reward,mean_reward,reward_delta,n_poisoned_transitions,poisoned_transition_fraction,global_anomaly_score,global_flag,global_dominant_feature,style_anomaly_score,style_flag,style_dominant_feature
aggressive_004,aggressive,poisoned,decision_targeted_reward_poison,False,151,25.343027170594983,4,1.0087675106683889,10.273928466756049,1.9051829236897917,130.5951732072691,132.0951732072691,0.8648686967368815,0.8748024715713186,0.25,6,0.0397350993377483,2.5027236255782213,False,mean_reward,1.0289752565429178,False,min_ttc
cautious_001,cautious,clean,,False,151,20.07812738425856,0,0.0574590202894357,41.050172667253065,13.088266908694314,106.0145929339478,106.0145929339478,0.7020833969135616,0.7020833969135616,0.0,0,0.0,2.469763374975755,False,min_front_gap,1.331170887211331,False,mean_speed
aggressive_001,aggressive,poisoned,decision_targeted_reward_poison,True,138,24.30593809598004,0,0.2979445744932715,5.0,2.1875427553099183,107.24792626728038,114.7479262672804,0.7771588859947853,0.831506712081742,0.25,30,0.217391304347826,2.4383974169845306,False,min_front_gap,4.861663391636636,True,action_entropy_bits
cautious_004,cautious,clean,,False,151,20.07812738425856,0,0.0574590202894357,22.0275668411858,6.751875894243935,100.98125960061444,100.98125960061444,0.668750063580228,0.668750063580228,0.0,0,0.0,2.353092853723712,False,mean_reward,2.2161443315482883,False,min_ttc
cautious_011,cautious,clean,,False,151,20.07812738425856,0,0.0574590202894357,24.834567538383283,25.364384005285743,111.04792626728111,111.04792626728111,0.7354167302468949,0.7354167302468949,0.0,0,0.0,2.316536829848401,False,min_ttc,2.083256986963253,False,mean_reward
cautious_005,cautious,clean,,False,151,20.07812738425856,0,0.0574590202894357,22.60597385406413,17.426775288694145,106.0145929339478,106.0145929339478,0.7020833969135616,0.7020833969135616,0.0,0,0.0,2.2911684614240553,False,mean_speed,1.4665422247023452,False,mean_speed
normal_005,normal,poisoned,decision_targeted_reward_poison,False,151,22.38820036975918,3,1.4676790731497744,9.972904895357315,2.429163344366219,118.12873478665496,119.12873478665496,0.7823095018983772,0.7889320184546686,0.25,4,0.0264900662251655,2.221742776071873,False,action_entropy_bits,2.881845234296545,True,action_entropy_bits
normal_016,normal,poisoned,decision_targeted_reward_poison,True,34,25.0,0,0.1914332548141934,48.96754364874352,10.909195088955736,27.57875640429676,27.82875640429676,0.8111398942440223,0.8184928354204929,0.25,1,0.0294117647058823,2.1742376858993415,False,min_front_gap,4.644521605622288,True,min_front_gap
cautious_015,cautious,clean,,False,151,20.07812738425856,1,0.1148543449617538,16.530387532558194,4.135497179461182,101.23109775635564,101.23109775635564,0.6704046209030174,0.6704046209030174,0.0,0,0.0,2.1527214620762853,False,mean_reward,4.250324725757709,True,action_entropy_bits
cautious_013,cautious,poisoned,decision_targeted_reward_poison,False,151,20.07812738425856,1,0.1148543449617538,15.100928304765944,11.43656584283635,102.54792626728111,102.79792626728111,0.679125339518418,0.6807809686574909,0.25,1,0.0066225165562913,2.1213662150178356,False,mean_reward,3.9173208883219233,True,action_entropy_bits
